id;name;form_phrase_structure;form_syntactic_function;meaning;meaning_description;notes;primary_source
intransitive_cxn;Intransitive Construction;NP VP;Subj V;action;X acts;;hoffmann_trousdale_2013
transitive_cxn;Transitive Construction;NP VP NP;Subj V Obj;transitive action;X acts on Y;;hoffmann_trousdale_2013
ditransitive_cxn;"Ditransitive Construction; Double Object Construction";NP VP NP NP;Subj V Obj1 Obj2;transfer (intended or actual);X causes Y to receive Z;;goldberg_1995
ditransitive_transfer_cxn;Ditransitive: Transfer;NP VP NP NP;Subj V Obj1 Obj2;actual or intended transfer of possession;X causes Y to receive Z;Goldberg 1995: 38;goldberg_1995
ditransitive_enablement_cxn;Ditransitive: Enablement;NP VP NP NP;Subj V Obj1 Obj2;caused enablement of transfer;X enables Y to receive Z;Goldberg 1995: 39;goldberg_1995
ditransitive_promise_cxn;Ditransitive: Promise;NP VP NP NP;Subj V Obj1 Obj2;intended future transfer via promise;X commits to Y receiving Z;Goldberg 1995: 39;goldberg_1995
ditransitive_refusal_cxn;Ditransitive: Refusal;NP VP NP NP;Subj V Obj1 Obj2;refusal of transfer;X withholds Z from Y;Goldberg 1995: 40;goldberg_1995
caused_motion_cxn;Caused Motion Construction;NP V NP PP;Subj V Obj Obl;caused motion;X causes Y to move Z;;goldberg_1995
resultative_cxn;Resultative Construction;NP V NP XP;Subj V Obj Xcomp;caused change of state;X causes Y to become Z;;goldberg_1995
passive_cxn;Passive Construction;NP aux V (by NP);Subj aux VPpp (PPby);discourse-pragmatic;to make undergoer topical and/or actor non-topical;;goldberg_2005
way_cxn;Way Construction;NP V NP.poss way PP;Subj V Obj[way] Obl;self-propelled motion;X moves to a goal by means of or despite the action denoted by V;;goldberg_1995
time_away_cxn;Time Away Construction;NP V NP.poss time away;Subj V Obj[time] Obl[away];temporal expenditure;X spends or wastes a time period doing the action denoted by V;;jackendoff_1997
wxdy_cxn;What's X Doing Y? Construction;What be NP VP[doing XP];Subj aux Obj Pred;incongruity/disapproval;Speaker signals that something is out of place or disapproved of;;kay_fillmore_1999
incredulity_cxn;"Incredulity Response Construction; Mad Magazine Construction";NP[acc] NP?;NP Pred NP;incredulity;Speaker expresses disbelief about an identification or attribution;;lambrecht_1990
comparative_correlative_cxn;"Comparative Correlative Construction; The Xer the Yer Construction; Covariational Conditional Construction; Proportional Correlative";"the Comp-XP1, the Comp-XP2";n/a;correlated scales;linked independent and dependent variables;"biclausal; clause-combining level exceeds scope of syntactic_function column";hoffmann_et_al_2020
binominal_np_cxn;"Binominal Noun Phrase Construction; That Fool of a Doctor Construction";Det1 N1 of Det2 N2;n/a;evaluation;N₁ evaluates N₂;"NP-internal construction; no clausal argument roles";tenwolde_2023
